movie_id,title,tags,poster_url
19995,Avatar,"Action Adventure Fantasy Sci-Fi future space war",https://image.tmdb.org/t/p/w500/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg
285,Pirates of the Caribbean: At World's End,"Action Adventure Fantasy ocean island",https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg
206647,Spectre,"Action Adventure Crime spy secret agent",https://image.tmdb.org/t/p/w500/zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg
49026,The Dark Knight Rises,"Action Crime Drama dc comics batman vigilante",https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg
49529,John Carter,"Action Adventure Sci-Fi mars princess warrior",https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg
559,Spider-Man 3,"Fantasy Action Adventure marvel superhero sandman",https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg
38757,Tangled,"Animation Family princess magic hair",https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg
99861,Avengers: Age of Ultron,"Action Adventure Sci-Fi marvel superhero robot",https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
767,Harry Potter and the Half-Blood Prince,"Adventure Fantasy Family magic school",https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
209112,Batman v Superman: Dawn of Justice,"Action Adventure Fantasy dc comics superhero",https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
12,Finding Nemo,"Animation Family ocean fish adventure",https://image.tmdb.org/t/p/w500/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg
135397,Jurassic World,"Action Adventure Sci-Fi dinosaurs theme park",https://image.tmdb.org/t/p/w500/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg
168259,Furious 7,"Action Crime Thriller cars racing heist",https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg
102899,Ant-Man,"Action Adventure Sci-Fi marvel shrinking",https://image.tmdb.org/t/p/w500/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg
118340,Guardians of the Galaxy,"Action Adventure Sci-Fi space marvel",https://image.tmdb.org/t/p/w500/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg
177572,Big Hero 6,"Animation Family Adventure robot superhero",https://image.tmdb.org/t/p/w500/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
140607,Star Wars: The Force Awakens,"Action Adventure Sci-Fi space jedi",https://image.tmdb.org/t/p/w500/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg
24428,The Avengers,"Action Adventure Sci-Fi marvel superhero",https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
293660,Deadpool,"Action Adventure Comedy marvel mercenary",https://image.tmdb.org/t/p/w500/3E53WEZJqP6aM84D8CckXx4pIHw.jpg
10138,Iron Man 2,"Action Adventure Sci-Fi marvel ironman",https://image.tmdb.org/t/p/w500/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg
671,Harry Potter and the Philosopher's Stone,"Adventure Fantasy Family magic",https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
672,Harry Potter and the Chamber of Secrets,"Adventure Fantasy Family magic",https://image.tmdb.org/t/p/w500/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg
673,Harry Potter and the Prisoner of Azkaban,"Adventure Fantasy Family magic",https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg
155,The Dark Knight,"Action Crime Drama dc comics batman joker",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
272,Batman Begins,"Action Crime Drama dc comics batman origins",https://image.tmdb.org/t/p/w500/sPX89Td70IDDjVr85jdSBb4rWGr.jpg
1726,Iron Man,"Action Adventure Sci-Fi marvel ironman",https://image.tmdb.org/t/p/w500/78lPtwv72eTNqFW9COBYI0dWDJa.jpg
101299,The Hunger Games: Catching Fire,"Adventure Action Sci-Fi dystopian",https://image.tmdb.org/t/p/w500/vrQHDXjVmbYzadOXQ0UaObunoy2.jpg
603,The Matrix,"Action Sci-Fi virtual reality machine",https://image.tmdb.org/t/p/w500/aOIuZAjPaRIE6CMzbazvcHuHXDc.jpg
120,The Lord of the Rings: The Fellowship of the Ring,"Adventure Fantasy journey",https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
121,The Lord of the Rings: The Two Towers,"Adventure Fantasy journey",https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
122,The Lord of the Rings: The Return of the King,"Adventure Fantasy journey",https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
11,Star Wars,"Action Adventure Sci-Fi space",https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
1891,The Empire Strikes Back,"Action Adventure Sci-Fi space",https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg
1892,Return of the Jedi,"Action Adventure Sci-Fi space",https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg
808,Shrek,"Animation Comedy Family ogre",https://image.tmdb.org/t/p/w500/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
809,Shrek 2,"Animation Comedy Family ogre",https://image.tmdb.org/t/p/w500/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg
211677,The Lego Movie,"Animation Adventure Comedy",https://image.tmdb.org/t/p/w500/lbctonEnewCYZ4FYoTZhs8cidAl.jpg
271110,Captain America: Civil War,"Action Adventure Sci-Fi marvel superhero",https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
100402,Captain America: The Winter Soldier,"Action Adventure Sci-Fi marvel",https://image.tmdb.org/t/p/w500/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg
1771,Captain America: The First Avenger,"Action Adventure Sci-Fi marvel",https://image.tmdb.org/t/p/w500/pB5upENYt9a1zp5JZoFD6hqez4I.jpg
10195,Thor,"Action Adventure Fantasy marvel thor",https://image.tmdb.org/t/p/w500/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg
76338,Thor: The Dark World,"Action Adventure Fantasy marvel thor",https://image.tmdb.org/t/p/w500/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg
284052,Doctor Strange,"Action Adventure Fantasy marvel magic",https://image.tmdb.org/t/p/w500/xf8PbyQcR5ucXErmZNzdKR0s8ya.jpg
284053,Thor: Ragnarok,"Action Adventure Fantasy marvel thor comedy",https://image.tmdb.org/t/p/w500/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg
10191,How to Train Your Dragon,"Animation Adventure Family dragons",https://image.tmdb.org/t/p/w500/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg
166428,How to Train Your Dragon 2,"Animation Adventure Family dragons",https://image.tmdb.org/t/p/w500/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg
35491,Wreck-It Ralph,"Animation Adventure Family video games",https://image.tmdb.org/t/p/w500/fiHyt6UmG4yjcXFt9Cbpw6OedHh.jpg
13,Forrest Gump,"Drama Romance history inspiration",https://image.tmdb.org/t/p/w500/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg
278,The Shawshank Redemption,"Drama prison hope",https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
238,The Godfather,"Crime Drama mafia",https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
240,The Godfather: Part II,"Crime Drama mafia",https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg
1893,Star Wars: Episode I - The Phantom Menace,"Action Adventure Sci-Fi space",https://image.tmdb.org/t/p/w500/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg
1894,Star Wars: Episode II - Attack of the Clones,"Action Adventure Sci-Fi space",https://image.tmdb.org/t/p/w500/oZNPzxqM2s5DyVWab09NTQScDQt.jpg
